,scheme_name,category,benchmark,latest NAV- Regular,latest NAV- Direct,1-Year Return(%)- Regular,1-Year Return(%)- Direct,3-Year Return(%)- Regular,3-Year Return(%)- Direct,5-Year Return(%)- Regular,5-Year Return(%)- Direct
2,Bandhan Core Equity Fund,Large & Mid Cap,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,52.45,54.24,25.76,27.26,21.96,23.42
3,Bank of India Large & Mid Cap Equity Fund,Large & Mid Cap,S&P BSE 250 Large MidCap Total Return Index,Very High,Very High,40.24,41.57,21.08,22.27,20.47,21.75
4,Baroda BNP Paribas Large & Mid Cap Fund,Large & Mid Cap,S&P BSE 250 Large MidCap Total Return Index,Very High,Very High,42.86,44.69,23.36,25.13,NA,NA
5,Canara Robeco Emerging Equities Fund,Large & Mid Cap,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,32.06,33.45,18.90,20.26,19.46,20.84
6,DSP Equity Opportunities Fund,Large & Mid Cap,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,42.27,43.67,20.27,21.43,20.55,21.71
7,Edelweiss Large & Mid Cap Fund,Large & Mid Cap,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,35.09,37.10,19.90,21.82,20.07,21.97
8,Franklin India Equity Advantage Fund,Large & Mid Cap,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,30.56,31.58,17.11,17.98,16.44,17.36
9,HDFC Large and Mid Cap Fund,Large & Mid Cap,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,44.59,45.79,25.82,26.80,22.70,23.45
10,HSBC Large and Mid Cap Fund,Large & Mid Cap,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,45.08,46.55,22.64,23.97,19.82,20.66
11,ICICI Prudential Large & Mid Cap Fund,Large & Mid Cap,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,43.06,44.32,26.55,27.62,22.68,23.68
12,Invesco India Large & Mid Cap Fund,Large & Mid Cap,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,46.68,48.43,22.43,23.97,19.61,21.09
13,Kotak Equity Opportunities Fund,Large & Mid Cap,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,42.62,44.24,23.35,24.83,21.84,23.27
14,LIC MF Large & Mid Cap Fund,Large & Mid Cap,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,39.44,41.21,20.01,21.70,19.07,20.81
15,Mahindra Manulife Large & Mid Cap Fund,Large & Mid Cap,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,46.75,49.13,23.68,25.94,NA,NA
16,Mirae Asset Large & Midcap Fund,Large & Mid Cap,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,36.16,37.45,18.49,19.66,21.65,22.86
17,Motilal Oswal Large and Midcap Fund,Large & Mid Cap,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,49.42,51.50,26.85,28.76,NA,NA
18,Navi Large & Midcap Fund,Large & Mid Cap,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,22.62,24.94,16.83,19.12,16.42,18.70
19,Nippon India Vision Fund,Large & Mid Cap,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,44.18,44.91,23.35,23.96,20.54,21.16
20,Quant Large and Mid Cap Fund,Large & Mid Cap,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,62.41,64.72,28.20,30.34,28.23,29.74
21,SBI Large & Midcap Fund,Large & Mid Cap,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,31.10,32.28,21.49,22.50,20.37,21.30
22,Sundaram Large and Mid Cap Fund,Large & Mid Cap,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,34.83,36.32,19.81,21.18,19.38,20.76
23,Tata Large & Mid Cap Fund,Large & Mid Cap,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,29.78,31.17,20.24,21.55,19.51,20.52
24,Union Large & Midcap Fund,Large & Mid Cap,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,33.29,35.12,20.73,22.27,NA,NA
25,UTI Large & Mid Cap Fund,Large & Mid Cap,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,43.37,44.50,22.74,23.58,20.77,21.50
0,Aditya Birla Sun Life Multi-Cap Fund,Multi Cap,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,35.08,36.87,19.73,21.62,NA,NA
1,Axis Multicap Fund,Multi Cap,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,44.86,46.65,NA,NA,NA,NA
2,Bandhan Multi Cap Fund,Multi Cap,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,37.74,39.84,NA,NA,NA,NA
3,Bank of India Multi Cap Fund,Multi Cap,Nifty 500 Multicap 50:25:25 Total Return Index,,Very High,47.48,48.88,NA,NA,NA,NA
4,Baroda BNP Paribas Multi Cap Fund,Multi Cap,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,43.53,44.96,23.90,25.19,21.71,22.98
5,HDFC Multi Cap Fund,Multi Cap,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,45.44,47.17,NA,NA,NA,NA
6,HSBC Multi Cap Fund,Multi Cap,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,55.99,58.12,NA,NA,NA,NA
7,ICICI Prudential Multicap Fund,Multi Cap,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,44.01,45.20,24.01,25.09,19.75,20.84
8,Invesco India Multicap Fund,Multi Cap,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,40.18,41.98,21.19,22.80,20.54,22.15
9,ITI Multi Cap Fund,Multi Cap,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,51.41,54.13,17.82,20.21,NA,NA
10,Kotak Multicap Fund,Multi Cap,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,54.90,57.07,NA,NA,NA,NA
11,LIC MF Multi Cap Fund,Multi Cap,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,38.96,41.29,NA,NA,NA,NA
12,Mahindra Manulife Multi Cap Fund,Multi Cap,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,47.30,49.58,24.39,26.53,24.56,26.71
13,Nippon India Multi Cap Fund,Multi Cap,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,49.95,51.11,32.10,33.07,22.86,23.73
14,Quant Active Fund,Multi Cap,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,49.61,51.21,24.24,25.98,30.82,32.40
15,SBI Multicap Fund,Multi Cap,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,32.24,33.37,NA,NA,NA,NA
16,Sundaram Multi Cap Fund,Multi Cap,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,37.93,39.47,21.11,22.52,18.54,19.96
17,Tata Multicap Fund,Multi Cap,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,26.92,29.05,NA,NA,NA,NA
18,Union Multicap Fund,Multi Cap,Nifty 500 Multicap 50:25:25 Total Return Index,,Very High,37.62,39.47,NA,NA,NA,NA
0,Aditya Birla Sun Life Mid Cap Fund,Mid Cap,NIFTY Midcap 150 Total Return Index,Very High,Very High,44.43,45.67,23.46,24.55,20.20,21.29
1,Axis Midcap Fund,Mid Cap,S&P BSE 150 MidCap Total Return Index,Very High,Very High,40.54,42.05,20.74,22.19,22.88,24.45
2,Bandhan Midcap Fund,Mid Cap,S&P BSE 150 MidCap Index,Very High,,47.46,49.87,NA,NA,NA,NA
3,Baroda BNP Paribas Midcap Fund,Mid Cap,NIFTY Midcap 150 Total Return Index,Very High,Very High,47.71,49.87,24.25,26.14,24.68,26.53
4,Canara Robeco Mid Cap Fund,Mid Cap,S&P BSE 150 MidCap Total Return Index,,Very High,41.90,44.05,NA,NA,NA,NA
5,DSP Midcap Fund,Mid Cap,NIFTY Midcap 150 Total Return Index,Very High,Very High,43.96,45.30,17.54,18.68,19.54,20.68
6,Edelweiss Mid Cap Fund,Mid Cap,NIFTY Midcap 150 Total Return Index,Very High,Very High,48.50,50.60,26.10,27.99,26.48,28.41
7,Franklin India Prima Fund,Mid Cap,NIFTY Midcap 150 Total Return Index,Very High,Very High,48.34,49.62,22.86,23.88,20.77,21.78
8,HDFC Mid-Cap Opportunities Fund,Mid Cap,NIFTY Midcap 150 Total Return Index,Very High,Very High,53.23,54.25,29.34,30.23,25.80,26.65
9,HSBC Midcap Fund,Mid Cap,NIFTY Midcap 150 Total Return Index,Very High,Very High,58.57,60.29,23.70,25.33,21.55,23.09
10,ICICI Prudential Midcap Fund,Mid Cap,NIFTY Midcap 150 Total Return Index,Very High,Very High,53.01,54.33,25.35,26.51,23.01,24.15
11,Invesco India Mid Cap Fund,Mid Cap,S&P BSE 150 MidCap Total Return Index,Very High,Very High,47.51,49.41,25.66,27.38,24.52,26.27
12,ITI Mid Cap Fund,Mid Cap,NIFTY Midcap 150 Total Return Index,Very High,Very High,64.87,67.93,24.40,27.04,NA,NA
13,JM Midcap Fund,Mid Cap,NIFTY Midcap 150 Total Return Index,Very High,Very High,69.05,72.28,NA,NA,NA,NA
